"kind","query","timestamp","found","status"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20120412191332","http://www.inthemix.com.au:80/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012?","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20120412205424","http://www.inthemix.com.au:80/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20120513164912","http://www.inthemix.com.au:80/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20120513165123","http://www.inthemix.com.au:80/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012?","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20120614022226","http://www.inthemix.com.au:80/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012?","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20120614023438","http://www.inthemix.com.au:80/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20120921070125","http://www.inthemix.com.au:80/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20121014155647","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20121019060015","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20121022094259","http://www.inthemix.com.au:80/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20121122053856","http://www.inthemix.com.au:80/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","200"
"article","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","20150917011009","http://www.inthemix.com.au/features/52603/One_night_in_Mannheim_inthemix_goes_to_Time_Warp_2012","200"
"article","http://inthemix.junkee.com/tomorrowland-2012-the-epic-review","20160609081128","http://inthemix.junkee.com:80/tomorrowland-2012-the-epic-review/17213","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20150829201415","http://boilerroom.tv:80/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20150831011340","http://boilerroom.tv:80/paco-osuna-barcelona","301"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20150831011340","http://boilerroom.tv:80/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20150906004801","http://boilerroom.tv/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20150921044516","https://boilerroom.tv/paco-osuna-barcelona/","200"
"article","https://boilerroom.tv/paco-osuna-barcelona/","20151018094808","http://boilerroom.tv:80/paco-osuna-barcelona","301"
